Question,Content
How do you cook fruit on the grill?,"preparation time: 3 minutes cooking time: 3 minutes portions: 4 ingredients: mixed fruit (apple, pear, apricot), cut into medium pieces 100g of granola 300g of plain yogurt oil in spray procedure: add the diced fruit with the granola in the oiled fryer and cook at 200 degrees for 3 minutes. pour the grilled fruit into the yogurt together with the granola and serve. Enjoy your meal! nutrients: fat 2, fiber 8, carbohydrates 12, protein 4, calories 200"
What is the best way to cook banana and chocolate morsels?,"preparation time: 2 minutes + chilling in the fridge cooking time: 5 minutes portions: 4 ingredients: 1 banana, peeled and cut into pieces 50g dark chocolate, cut into flakes 1 tablespoon butter 1 tablespoon chopped hazelnuts procedure: melt the butter with the chocolate in the fryer at 120 degrees and mix to combine. put the melted chocolate in a bowl, dip each banana slice in it and place it on a plate, sprinkle the hazelnuts on top and place in the fridge to cool. once solidified, serve the morsels. Enjoy your meal! nutrients: fat 8, fiber 4, carbohydrates 10, protein 2, calories 254"
How do you cook toning pancakes?,"preparation time: 7 minutes cooking time: 3-4 minutes portions: 2 ingredients: 100g of egg white 30g of oat flour 1 tablespoon of sugar fresh fruit to taste procedure: whip the egg yolks until stiff with an electric whisk , add the flour, stirring gently from bottom to top, add the sugar and mix delicately. in the meantime, preheat the fryer to 180 degrees, pour in a ladle of the mixture and leave to cook for 2 minutes on each side. Divide between plates and accompany with fresh fruit on the side. Enjoy your meal! nutrients: fat 3, fiber 7, carbohydrates 2, protein 5, calories 249"
How do you cook coffee with cream?,"preparation time: 1 minute cooking time: 3 minutes portions: 2 ingredients: 150g spray whipped cream 2 cups of coffee 2 tablespoons of granola procedure: toast the granola for 3 minutes at 180 degrees. in the meantime, pour the cream creating a mound on a bowl and gently pour the coffee on the sides and a little on top, without breaking the mound. add the toasted granola over the cream and serve with a long spoon. Enjoy your meal! nutrients: fat 10, fiber 2, carbohydrates 12, protein 4, calories 250"
How do I cook pancakes with ice cream?,"preparation time: 2 minutes cooking time: 4 minutes portions: 2 ingredients: toning pancakes (follow the recipe on the side) 2 scoops of berry ice cream 2 tablespoons of berry syrup a handful of flaked almonds procedure : prepare the pancakes following the ""toning pancakes"" recipe. place 2-3 pancakes on top of each other, add the scoop of ice cream on top, garnish with the syrup and almonds and serve. Enjoy your meal! nutrients: fat 8, fiber 2, carbohydrates 10, protein 2, calories 300"
How do I successfully prepare What are the best ways to make stuffed plum cakes?,"preparation time: 1 minute cooking time: 4 minutes portions: 2 ingredients: 2 packaged plum cakes, cut in half 2 teaspoons of raspberry jam icing sugar to taste a handful of almonds and walnuts, partly chopped and partly whole procedure: toast the chopped and whole almonds and walnuts for 3 minutes at 180 degrees. in the meantime, heat the plum cakes in a pan. place the lower half of the plum cake on each plate, add the jam and a handful of toasted almonds and walnuts, cover with the upper part, add the icing sugar and serve. Enjoy your meal! nutrients: fat 7, fiber 5, carbohydrates 17, protein 5, calories 310"
How is How do you cook ice cream with hot berries typically prepare?,"preparation time: 2 minutes cooking time: 5 minutes portions: 2 ingredients: 150g of berries, defrosted 2 scoops of vanilla ice cream berry syrup to taste procedure: heat the berries with a spoonful of hot water and one of syrup in the air fryer at 150 degrees. pour half the hot berries into a bowl, add the scoop of ice cream on top, pour the other half of the berries on top and decorate with the syrup to serve immediately. Enjoy your meal! nutrients: fat 8, fiber 7, carbohydrates 15, protein 7, calories 260"
What process should I follow to cook a red fruit omelette?,"preparation time: 3 minutes cooking time: 4 minutes portions: 2 ingredients: 4 eggs 50ml spray cream salt to taste 150g raspberries and currants, fresh or thawed procedure: mix the eggs in a bowl and pour them into the fryer at 180 degrees for 4 minutes. in the meantime, heat the red fruits in a saucepan with a spoonful of hot water. put the omelette on the plate, put the berries on top, fold in half, add the cream on top and serve for breakfast. Enjoy your meal! nutrients: calories 170, fat 5, fiber 2, carbohydrates 12, proteins 10"
How do I cook chocolate pralines?,"preparation time: 3 minutes + cooling cooking time: 5 minutes portions: 3 ingredients: 200g of crushed dark chocolate 1 tablespoon of butter 50g of dried fruit 140g of cereals 100ml of fresh cream procedure: heat the butter and chocolate in the fryer at 140 degrees for 5 minutes, stirring to avoid creating lumps, adding the cream halfway through cooking and mixing. add the dried fruit and cereals to the melted chocolate, transfer to a plate and form balls with your hands, being careful not to burn yourself. put everything on a plate, let cool and serve once they have solidified. Enjoy your meal! nutrients: fat 7, fiber 8, carbohydrates 6, protein 10, calories 250"
What is a good recipe to prepare What are some ways to cook bruschetta?,"preparation time: 2 minutes cooking time: 4 minutes portions: 4 ingredients: 4 slices of wholemeal bread grated peel and fruit cut into rings of 1 orange 2 tablespoons of butter brown sugar to taste procedure: toast the bread at 180 degrees to 4 minutes in the air fryer. place the bread on plates, spread the butter on top, add the grated orange zest and two slices of orange and serve with brown sugar on top. Enjoy your meal! nutrients: fat 8, fiber 10, carbohydrates 14, protein 5, calories 200"
What’s involved in prepare How do you cook granola with yogurt?,"preparation time: 4 minutes cooking time: 3 minutes portions: 4 ingredients: 150g peaches in syrup, cut into cubes 300g Greek yogurt 150g oats and almonds procedure: toast the almonds and oats for 3 minutes at 180 degrees in the fryer. pour the yogurt into a bowl and add the peaches. add the toasted ingredients, mix and serve. Enjoy your meal! nutrients: fat 2, fiber 2, carbohydrates 14, protein 5, calories 200"
How do you approach prepare What is the best way to serve ricotta toast for breakfast?,"preparation time: 3 minutes cooking time: 3 minutes portions: 4 ingredients: 300g sheep's ricotta 70g icing sugar (or 70g honey) 50g chocolate flakes 50g almonds procedure: toast the almonds at 180 degrees to 3 minutes. in the meantime, mix the ricotta and icing sugar well with an electric whisk. pour the ricotta into a bowl, add the chocolate flakes, the almonds, mix and serve for breakfast. Enjoy your meal! nutrients: fat 7, fiber 7, carbohydrates 12, proteins 10, calories 240"
What are the necessary steps to prepare What is the best way to cook French toast?,"preparation time: 4 minutes cooking time: 5 minutes portions: 2 ingredients: 4 slices of brioches (sweet bread) 2 eggs 100ml of low-fat milk 60g of butter maple syrup to taste cinnamon, blueberries to taste procedure: mix in a bowl the eggs, milk and cinnamon. dip the slices of sweet bread in the eggs and heat them in the fryer preheated to 180 degrees and with the melted butter to cook for 5 minutes. place two slices one on top of the other on a plate, garnish with maple and blueberry syrup and serve. Enjoy your meal! nutrients: fat 9, fiber 6, carbohydrates 18, protein 8, calories 300"
Could you explain how to cook caramel bacon?,"preparation time: 2 minutes cooking time: 6 minutes portions: 3 ingredients: 200g bacon strips brown sugar and pepper, to taste 40g maple syrup 3 slices of bread, toasted procedure: mix the cacon bacon strips sugar, pepper and maple syrup to coat them well. Place the caramelized bacon in the fryer preheated to 180 degrees and cook until crispy. divide the bacon between the plates and serve, accompanied by toasted bread. Enjoy your meal! nutrients: fat 13, fiber 7, carbohydrates 19, proteins 10, calories 341"
Could you explain how to prepare How do you cook crispy croissants?,"preparation time: 2 minutes cooking time: 6 minutes portions: 2 ingredients: 2 croissants, defrosted and cut in half 1 knob of butter 2 teaspoons of strawberry jam a handful of strawberries, stemmed and cut into thin slices procedure: grease the fryer with butter, preheat to 180 degrees and heat the croissants for 5-6 minutes. place the croissants on plates, spread the jam on top, add the strawberry slices and close to serve. Enjoy your meal! nutrients: fat 7, fiber 8, carbohydrates 12, proteins 4, calories 213"
How should I make a chocolate smoothie?,"preparation time: 4 minutes cooking time: 3 minutes portions: 2 ingredients: 1 banana, peeled and pureed 2 tablespoons of milk 1 tablespoon of bitter cocoa 1 teaspoon of honey a handful of chopped hazelnuts chocolate flakes to taste procedure: toast the hazelnuts in the fryer at 180 degrees for 3 minutes. in the meantime, blend the banana well with milk, cocoa and honey. pour the smoothie into glasses, add the chocolate flakes and hazelnuts on top and serve with a straw and long spoon. Enjoy your meal! nutrients: fat 10, fiber 4, carbohydrates 17, protein 6, calories 280"
How do I cook vegan breakfast?,"preparation time: 4 minutes cooking time: 3 minutes portions: 2 ingredients: 2 slices of wholemeal bread 80g of tofu, drained and cut into thin slices 1 courgette cut into thin strips and marinated with oil and lemon a handful of chia seeds salt and pepper to taste. Procedure: toast the bread at 180 degrees for 3 minutes in the fryer. place the bread on plates, add the tofu strips, the courgettes, sprinkle the chia seeds, salt and pepper and serve. Enjoy your meal! nutrients: fat 6, fiber 8, carbohydrates 13, protein 7, calories 200"
What is the best way to cook Apulian olives?,"preparation time: 2 minutes cooking time: 7 minutes portions: 4 ingredients: 100g of sweet black olives oil spray salt to taste a handful of dried tomatoes procedure: oil the fryer and heat it to 180 degrees, then insert the olives and cook them for 7 minutes. pour the olives into a bowl, add the tomatoes and salt and mix. serve in small bowls. Enjoy your meal! nutrients: fat 4, fiber 5, carbohydrates 10, proteins 6, calories 160"
How can I cook a diet breakfast?,"preparation time: 1 minute cooking time: 3 minutes portions: 2 ingredients: 200g of low-fat, unsweetened plain yogurt 50g of pumpkin seeds 50g of oats 50g of goji berries procedure: toast the pumpkin seeds and oats in the preheated fryer at 170 degrees for 3 minutes. in the meantime, put half the low-fat yogurt in the glasses. when the ingredients are toasted, put half of them in the yogurt together with half of the goji berries. create another layer with the yogurt, then the seeds, oats and berries and serve. Enjoy your meal! nutrients: fat 1, fiber 8, carbohydrates 14, protein 6, calories 200"
What’s involved in prepare What is the best way to cook a covered muffin?,"preparation time: 2 minutes cooking time: 4 minutes portions: 2 ingredients: 2 packaged yogurt muffins 150g plain yogurt 100g white chocolate flakes procedure: heat the muffins in the fryer at 120 degrees for 4 minutes. place the muffins on plates, pour the yogurt over them, sprinkle the white chocolate and serve. Enjoy your meal! nutrients: fat 16, fiber 7, carbohydrates 18, protein 6, calories 322"
How do I cook an American breakfast?,"preparation time: 2 minutes cooking time: 5 minutes portions: 3 ingredients: 3 eggs 100g diced bacon a spoonful of chopped parsley salt and pepper to taste procedure: cook the bacon in the fryer at 180 degrees for 3 minutes. in the meantime, beat the eggs well with salt and pepper, then add them to the fryer and mix them with the bacon, scrambling them. divide between plates and serve for breakfast with parsley on top. Enjoy your meal! nutrients: fat 10, fiber 7, carbohydrates 12, proteins 15, calories 280"
